# probe_name     : rest
# profile        : max-debug
# profile_type   : debug
# arm            : right
# kind           : baseline
# recorded_utc   : 2026-08-08T06:41:14.372Z
# duration_s     : 5.000
# sample_rate_hz : 1000
# n_samples      : 5000
# channels       : ulnar, median, radial
# value_range    : -1..+1  (Companion raw SNC)
# notes          : session baseline (recorded via header button)
# effort         : easy
# fatigue        : none
# schema         : armband/probe/1
t_ms,ulnar,median,radial
628,0.17288,0.11014,-0.07687
629,0.17010,0.10486,-0.05640
630,0.10599,0.05972,-0.04889
631,0.01782,0.00452,-0.06180
632,-0.05542,-0.03424,-0.07486
633,-0.09518,-0.04883,-0.06842
634,-0.10364,-0.04938,-0.04465
635,-0.08951,-0.04956,-0.02124
636,-0.05795,-0.05365,-0.00922
637,-0.01346,-0.05450,-0.00204
638,0.03207,-0.04218,0.01349
639,0.06052,-0.01355,0.04080
640,0.06079,0.02554,0.07211
641,0.04135,0.06448,0.10141
642,0.02582,0.09259,0.13199
643,0.03235,0.10031,0.16629
644,0.05466,0.08047,0.19003
645,0.06418,0.03235,0.17419
646,0.03394,-0.03384,0.09915
647,-0.03571,-0.09882,-0.02097
648,-0.11218,-0.14352,-0.13992
649,-0.15118,-0.15820,-0.20886
650,-0.12650,-0.14404,-0.20816
651,-0.04724,-0.10706,-0.15588
652,0.04813,-0.05341,-0.08957
653,0.11389,0.00873,-0.04037
654,0.12097,0.06406,-0.01935
655,0.06961,0.09238,-0.02023
656,-0.01260,0.08008,-0.03043
657,-0.08496,0.03302,-0.03915
658,-0.11322,-0.02234,-0.04083
659,-0.08594,-0.05463,-0.03479
660,-0.01993,-0.04947,-0.02399
661,0.04926,-0.02069,-0.01288
662,0.08755,0.00046,-0.00449
663,0.08267,-0.00894,0.00262
664,0.05167,-0.04276,0.01581
665,0.02997,-0.06894,0.04608
666,0.04654,-0.05640,0.10007
667,0.10089,-0.00391,0.16971
668,0.15887,0.05429,0.22830
669,0.17361,0.07343,0.24075
670,0.11945,0.03452,0.18604
671,0.01419,-0.03897,0.07605
672,-0.08914,-0.09869,-0.04587
673,-0.13812,-0.10883,-0.12988
674,-0.11725,-0.07242,-0.15051
675,-0.05664,-0.02554,-0.11923
676,-0.00507,-0.00565,-0.06982
677,0.00946,-0.02084,-0.02994
678,-0.00150,-0.04437,-0.00430
679,-0.00342,-0.03867,0.01807
680,0.02493,0.01102,0.04398
681,0.07007,0.08124,0.06512
682,0.09622,0.12677,0.06799
683,0.08017,0.11697,0.05194
684,0.03482,0.06134,0.03424
685,-0.00204,0.00067,0.03308
686,-0.00391,-0.02960,0.04523
687,0.01865,-0.03012,0.04315
688,0.02936,-0.03128,-0.00049
